age_bucket,country_destination,population_in_thousands,year,gender,
100+,AU,1,2015,male,
95-99,AU,9,2015,male,
90-94,AU,47,2015,male,
85-89,AU,118,2015,male,
80-84,AU,199,2015,male,
75-79,AU,298,2015,male,
70-74,AU,415,2015,male,
65-69,AU,574,2015,male,
60-64,AU,636,2015,male,
55-59,AU,714,2015,male,
50-54,AU,778,2015,male,
45-49,AU,778,2015,male,
40-44,AU,820,2015,male,
35-39,AU,797,2015,male,
30-34,AU,881,2015,male,
25-29,AU,895,2015,male,
20-24,AU,820,2015,male,
15-19,AU,768,2015,male,
10-14,AU,743,2015,male,
5-9,AU,784,2015,male,
0-4,AU,824,2015,male,
100+,AU,4,2015,female,
95-99,AU,25,2015,female,
90-94,AU,94,2015,female,
85-89,AU,179,2015,female,
80-84,AU,252,2015,female,
75-79,AU,338,2015,female,
70-74,AU,438,2015,female,
65-69,AU,592,2015,female,
60-64,AU,660,2015,female,
55-59,AU,739,2015,female,
50-54,AU,798,2015,female,
45-49,AU,793,2015,female,
40-44,AU,838,2015,female,
35-39,AU,801,2015,female,
30-34,AU,865,2015,female,
25-29,AU,851,2015,female,
20-24,AU,787,2015,female,
15-19,AU,737,2015,female,
10-14,AU,707,2015,female,
5-9,AU,745,2015,female,
0-4,AU,781,2015,female,
75-79,CA,530,2015,female,
75-79,CA,446,2015,male,
35-39,CA,1192,2015,female,
25-29,CA,1220,2015,female,
95-99,CA,13,2015,male,
40-44,CA,1179,2015,male,
30-34,CA,1240,2015,female,
60-64,CA,1142,2015,female,
55-59,CA,1287,2015,male,
45-49,CA,1232,2015,male,
85-89,CA,300,2015,female,
50-54,CA,1400,2015,male,
100+,CA,1,2015,male,
70-74,CA,650,2015,male,
95-99,CA,42,2015,female,
100+,CA,7,2015,female,
90-94,CA,68,2015,male,
50-54,CA,1391,2015,female,
0-4,CA,1045,2015,male,
5-9,CA,1011,2015,male,
70-74,CA,715,2015,female,
10-14,CA,983,2015,male,
55-59,CA,1305,2015,female,
45-49,CA,1217,2015,female,
20-24,CA,1159,2015,female,
15-19,CA,1054,2015,male,
20-24,CA,1203,2015,male,
65-69,CA,914,2015,male,
40-44,CA,1169,2015,female,
90-94,CA,153,2015,female,
65-69,CA,973,2015,female,
60-64,CA,1094,2015,male,
85-89,CA,183,2015,male,
25-29,CA,1273,2015,male,
5-9,CA,960,2015,female,
80-84,CA,422,2015,female,
30-34,CA,1262,2015,male,
10-14,CA,929,2015,female,
0-4,CA,991,2015,female,
35-39,CA,1189,2015,male,
15-19,CA,1009,2015,female,
80-84,CA,318,2015,male,
70-74,DE,2099,2015,male,
80-84,DE,1486,2015,female,
60-64,DE,2799,2015,female,
100+,DE,3,2015,male,
5-9,DE,1690,2015,female,
75-79,DE,2421,2015,female,
70-74,DE,2362,2015,female,
65-69,DE,2134,2015,female,
85-89,DE,517,2015,male,
25-29,DE,2495,2015,female,
60-64,DE,2575,2015,male,
0-4,DE,1713,2015,female,
55-59,DE,2983,2015,male,
50-54,DE,3614,2015,male,
30-34,DE,2571,2015,female,
45-49,DE,3525,2015,male,
40-44,DE,2633,2015,male,
35-39,DE,2402,2015,female,
65-69,DE,2003,2015,male,
35-39,DE,2448,2015,male,
20-24,DE,2161,2015,female,
30-34,DE,2627,2015,male,
95-99,DE,17,2015,male,
40-44,DE,2559,2015,female,
75-79,DE,1932,2015,male,
25-29,DE,2593,2015,male,
10-14,DE,1800,2015,female,
20-24,DE,2266,2015,male,
15-19,DE,2076,2015,male,
45-49,DE,3357,2015,female,
10-14,DE,1892,2015,male,
5-9,DE,1781,2015,male,
50-54,DE,3513,2015,female,
0-4,DE,1811,2015,male,
15-19,DE,1974,2015,female,
