AU,CA,DE ,ES,FR,GB,IT,NDF,NL,PT,US,other
0.0010001,0.002546265,0.001138587,0.003900933,0.011473021,0.006524048,0.007920662,0.663341343,0.001104892,5.10891E-05,0.259445727,0.041553311
0.001000099,0.002546263,0.001138586,0.003900929,0.011473014,0.006524041,0.007920658,0.663341343,0.00110489,5.10889E-05,0.259445816,0.041553292
0.00100006,0.002546172,0.00113854,0.003900813,0.011472794,0.006523956,0.007920486,0.663342178,0.001104834,5.10854E-05,0.259446234,0.041552734
0.001000052,0.002546171,0.001138533,0.003900792,0.011472722,0.006523823,0.007920426,0.66334343,0.001104841,5.10856E-05,0.259445429,0.041552674
0.001000075,0.002546215,0.001138558,0.003900857,0.011472858,0.006523935,0.007920528,0.663342476,0.001104863,5.10871E-05,0.259445578,0.04155295
0.001000037,0.002546133,0.001138514,0.003900737,0.011472615,0.006523747,0.007920337,0.663344204,0.001104822,5.10844E-05,0.259445429,0.041552436
0.001000064,0.002546194,0.001138546,0.003900826,0.0114728,0.006523883,0.00792048,0.663342893,0.001104854,5.10865E-05,0.259445608,0.04155283
0.001000061,0.002546182,0.001138541,0.003900809,0.011472763,0.006523855,0.007920457,0.663343191,0.001104849,5.10861E-05,0.259445548,0.041552767
0.001000063,0.002546184,0.001138544,0.003900814,0.011472775,0.006523865,0.007920466,0.663343012,0.001104849,5.10861E-05,0.259445578,0.041552786
0.001000082,0.002546225,0.001138565,0.003900875,0.011472899,0.00652396,0.007920567,0.663342237,0.001104872,5.10876E-05,0.259445637,0.041553061
0.00100008,0.00254622,0.001138564,0.003900867,0.011472887,0.00652395,0.007920555,0.663342237,0.001104869,5.10875E-05,0.259445637,0.041553039
0.001001765,0.002549826,0.001140555,0.003906202,0.011483956,0.006532696,0.007929504,0.663260698,0.001106735,5.1214E-05,0.259460717,0.041576188
0.001000086,0.002546233,0.001138569,0.003900887,0.011472925,0.006523978,0.007920589,0.66334188,0.001104875,5.10879E-05,0.259445757,0.041553106
0.001000082,0.002546225,0.001138565,0.003900874,0.011472898,0.006523959,0.007920566,0.663342178,0.001104871,5.10876E-05,0.259445667,0.041553058
0.001000099,0.002546264,0.001138586,0.003900931,0.011473014,0.006524045,0.007920658,0.663341343,0.001104891,5.1089E-05,0.259445757,0.0415533
0.00100008,0.002546222,0.001138564,0.003900867,0.011472887,0.006523954,0.007920559,0.663342237,0.00110487,5.10876E-05,0.259445637,0.041553039
0.001000082,0.002546225,0.001138565,0.003900874,0.011472898,0.006523956,0.007920561,0.663342178,0.001104871,5.10876E-05,0.259445667,0.041553058
0.001000058,0.00254618,0.001138539,0.003900806,0.011472751,0.006523861,0.007920453,0.663343191,0.001104845,5.10858E-05,0.259445548,0.041552741
0.001000753,0.002547653,0.001139357,0.003903001,0.011477324,0.006527531,0.007924147,0.663308918,0.001105604,5.11374E-05,0.259452313,0.041562237
0.001000081,0.002546226,0.001138566,0.003900874,0.011472898,0.006523963,0.00792057,0.663342178,0.001104872,5.10876E-05,0.259445697,0.041553065
0.001000095,0.002546254,0.001138582,0.003900919,0.011472986,0.006524025,0.007920638,0.663341582,0.001104887,5.10886E-05,0.259445667,0.041553248
0.001000081,0.002546225,0.001138565,0.003900874,0.011472903,0.006523963,0.00792057,0.663342178,0.001104872,5.10877E-05,0.259445697,0.041553065
0.001000052,0.00254616,0.001138531,0.00390078,0.011472708,0.006523818,0.007920412,0.663343549,0.001104837,5.10854E-05,0.259445488,0.041552633
0.001000058,0.00254618,0.00113854,0.003900806,0.011472753,0.006523843,0.007920455,0.66334331,0.001104846,5.1086E-05,0.259445429,0.041552749
0.001000026,0.002546108,0.0011385,0.003900701,0.011472537,0.006523683,0.007920275,0.663344741,0.001104809,5.10835E-05,0.25944522,0.041552283
0.001000071,0.002546206,0.001138553,0.00390084,0.011472842,0.006523909,0.007920512,0.663342714,0.00110486,5.10868E-05,0.259445548,0.041552909
0.001000062,0.002546188,0.001138543,0.003900816,0.011472781,0.006523871,0.007920466,0.663343012,0.001104851,5.10863E-05,0.259445459,0.041552786
0.001000057,0.002546175,0.001138538,0.003900799,0.011472742,0.006523843,0.007920444,0.66334331,0.001104845,5.10858E-05,0.259445429,0.041552726
0.001000071,0.002546202,0.001138553,0.00390084,0.011472831,0.006523909,0.007920508,0.663342714,0.00110486,5.10869E-05,0.259445548,0.041552886
0.001000072,0.002546211,0.001138555,0.003900846,0.011472848,0.006523916,0.007920524,0.663342476,0.001104862,5.10871E-05,0.259445608,0.04155295
0.001000055,0.002546173,0.001138538,0.003900793,0.011472729,0.006523827,0.007920434,0.663343489,0.001104844,5.10858E-05,0.259445339,0.0415527
0.00100007,0.002546203,0.001138552,0.003900837,0.011472821,0.006523901,0.007920506,0.663342834,0.001104858,5.10868E-05,0.259445488,0.041552886
0.001000042,0.002546142,0.00113852,0.003900754,0.011472653,0.006523774,0.007920363,0.663343847,0.001104828,5.10847E-05,0.259445429,0.041552525
0.001000079,0.002546221,0.001138562,0.003900865,0.011472885,0.006523937,0.00792055,0.663342416,0.001104869,5.10875E-05,0.259445578,0.04155302
0.001000074,0.00254621,0.001138558,0.003900856,0.011472864,0.00652395,0.00792054,0.663342178,0.001104862,5.1087E-05,0.259445816,0.041552953
0.001000055,0.002546174,0.001138536,0.003900795,0.011472742,0.006523831,0.007920432,0.66334331,0.001104842,5.10857E-05,0.259445429,0.041552708
0.001000081,0.002546223,0.001138564,0.003900871,0.011472894,0.006523951,0.007920559,0.663342297,0.001104871,5.10876E-05,0.259445608,0.041553054
0.001000059,0.002546179,0.001138539,0.003900806,0.011472759,0.006523849,0.007920455,0.66334331,0.001104846,5.10859E-05,0.259445429,0.041552749
0.001000085,0.002546231,0.00113857,0.003900887,0.011472934,0.006523996,0.007920591,0.663341761,0.001104872,5.10877E-05,0.259445816,0.041553091
0.001000055,0.002546175,0.001138536,0.003900799,0.011472737,0.006523831,0.007920436,0.66334331,0.001104842,5.10857E-05,0.259445429,0.041552708
0.001000037,0.002546132,0.001138514,0.003900737,0.011472615,0.006523753,0.007920337,0.663344204,0.001104821,5.10843E-05,0.259445399,0.041552436
0.001000082,0.002546225,0.001138565,0.003900874,0.011472898,0.006523963,0.00792057,0.663342178,0.001104871,5.10876E-05,0.259445667,0.041553058
0.001000806,0.002547772,0.001139422,0.003903166,0.011477662,0.006527753,0.007924423,0.663306713,0.001105669,5.11418E-05,0.259452373,0.041562997
0.001000061,0.002546184,0.001138543,0.003900814,0.011472781,0.006523862,0.007920463,0.663343012,0.00110485,5.10861E-05,0.259445548,0.041552778
0.001000083,0.002546228,0.001138567,0.003900878,0.01147292,0.006523969,0.007920577,0.663342178,0.001104873,5.10878E-05,0.259445608,0.041553088
0.001000077,0.002546218,0.00113856,0.003900863,0.011472874,0.00652394,0.00792055,0.663342416,0.001104868,5.10874E-05,0.259445578,0.041553002
0.001000108,0.002546281,0.001138596,0.003900958,0.011473079,0.006524119,0.007920714,0.663340688,0.001104897,5.10895E-05,0.259446025,0.041553397
0.00100007,0.002546205,0.001138553,0.003900841,0.011472832,0.00652391,0.007920509,0.663342834,0.00110486,5.10868E-05,0.259445548,0.041552894
0.0010001,0.002546265,0.001138587,0.003900931,0.011473015,0.006524049,0.007920659,0.663341403,0.001104892,5.1089E-05,0.259445757,0.041553304
0.001000083,0.002546228,0.001138565,0.003900877,0.011472907,0.006523967,0.007920575,0.663342059,0.001104872,5.10876E-05,0.259445637,0.041553058
0.0010001,0.002546264,0.001138586,0.003900931,0.011473014,0.006524048,0.007920658,0.663341343,0.001104891,5.1089E-05,0.259445786,0.0415533
0.00100006,0.00254618,0.00113854,0.003900808,0.011472763,0.006523855,0.007920454,0.663343251,0.001104847,5.10859E-05,0.259445548,0.041552763
0.001000084,0.002546229,0.001138567,0.003900879,0.011472918,0.006523971,0.007920575,0.663342059,0.001104874,5.10878E-05,0.259445637,0.041553088
0.001000041,0.002546139,0.001138519,0.003900751,0.011472644,0.006523766,0.007920357,0.663343966,0.001104826,5.10846E-05,0.259445399,0.041552503
0.001000039,0.002546137,0.001138516,0.003900744,0.011472625,0.006523751,0.007920351,0.663344085,0.001104824,5.10844E-05,0.259445369,0.041552469
0.001000059,0.00254618,0.00113854,0.00390081,0.011472763,0.006523852,0.007920454,0.663343251,0.001104847,5.1086E-05,0.259445488,0.041552745
0.001000072,0.002546208,0.001138554,0.003900846,0.011472839,0.006523916,0.007920514,0.663342535,0.001104861,5.10869E-05,0.259445578,0.041552916
0.00100008,0.002546221,0.001138564,0.003900871,0.011472886,0.00652395,0.007920561,0.663342178,0.001104869,5.10875E-05,0.259445667,0.041553035
0.001000081,0.002546225,0.001138565,0.003900874,0.011472898,0.006523963,0.00792057,0.663342178,0.001104871,5.10876E-05,0.259445667,0.041553058
0.00100007,0.002546203,0.001138553,0.003900839,0.011472832,0.006523907,0.007920506,0.663342834,0.00110486,5.10868E-05,0.259445518,0.041552894
0.001000845,0.002547849,0.001139467,0.003903286,0.01147791,0.006527971,0.007924624,0.663304865,0.001105709,5.11446E-05,0.25945285,0.041563481
0.00100013,0.002546326,0.001138621,0.003901026,0.011473224,0.006524235,0.007920833,0.663339555,0.001104922,5.1091E-05,0.259446353,0.041553713
0.001000083,0.002546227,0.001138566,0.003900878,0.011472919,0.006523968,0.007920576,0.663342118,0.001104873,5.10878E-05,0.259445578,0.041553073
0.001000074,0.002546211,0.001138557,0.00390085,0.011472858,0.006523922,0.007920532,0.663342476,0.001104865,5.10871E-05,0.259445548,0.04155295
0.001000066,0.002546193,0.001138548,0.003900826,0.011472805,0.006523889,0.007920487,0.663342834,0.001104855,5.10865E-05,0.259445578,0.041552834
0.001000078,0.00254622,0.001138562,0.003900867,0.011472886,0.006523963,0.00792055,0.663342178,0.001104867,5.10873E-05,0.259445757,0.041552998
0.001000082,0.002546225,0.001138565,0.003900874,0.011472898,0.006523963,0.00792057,0.663342178,0.001104871,5.10876E-05,0.259445667,0.041553058
0.001000088,0.002546241,0.001138573,0.003900895,0.011472937,0.006523985,0.007920597,0.663341939,0.001104879,5.10881E-05,0.259445608,0.04155314
0.0010001,0.002546265,0.001138587,0.003900933,0.011473021,0.006524048,0.007920662,0.663341343,0.001104892,5.10891E-05,0.259445727,0.041553311
0.001000052,0.002546167,0.001138533,0.003900786,0.011472708,0.006523814,0.007920412,0.663343549,0.00110484,5.10855E-05,0.25944531,0.041552644
