AU,CA,DE,ES,FR,GB,IT,NDF,NL,PT,US,other
0.002032868,0.003285501,0.002655001,0.006685441,0.020915328,0.008063735,0.009419759,0.607592344,0.002195791,0.000115955,0.286797881,0.050240535
0.002032765,0.003285364,0.002654872,0.006685144,0.02091465,0.0080634,0.009419395,0.607595503,0.00219568,0.000115946,0.286797732,0.050239455
0.002032785,0.003285395,0.002654904,0.006685188,0.020914767,0.008063461,0.009419462,0.607595146,0.002195701,0.000115948,0.286797702,0.050239593
0.002032796,0.003285403,0.002654911,0.006685242,0.020914866,0.008063506,0.009419515,0.60759455,0.002195712,0.000115949,0.286797732,0.050239809
0.002032851,0.00328548,0.002654977,0.006685419,0.020915262,0.008063706,0.00941973,0.607592463,0.002195774,0.000115954,0.286797971,0.050240472
0.002032828,0.003285452,0.002654959,0.006685316,0.02091505,0.008063591,0.009419605,0.607593715,0.002195749,0.000115952,0.286797792,0.050240029
0.002032759,0.003285353,0.002654865,0.006685142,0.020914635,0.008063398,0.009419384,0.607595682,0.002195674,0.000115945,0.286797643,0.050239462
0.002032808,0.003285427,0.002654932,0.006685251,0.020914914,0.00806353,0.009419537,0.607594252,0.002195726,0.00011595,0.286797881,0.050239831
0.002032922,0.003285572,0.002655062,0.00668562,0.020915696,0.008063921,0.009419977,0.607590139,0.002195848,0.000115961,0.28679809,0.05024118
0.002032768,0.003285364,0.002654874,0.006685157,0.020914683,0.00806342,0.009419404,0.607595503,0.002195683,0.000115946,0.286797673,0.050239529
0.002033082,0.003285798,0.002655272,0.006686118,0.020916799,0.008064471,0.009420578,0.607584357,0.002196026,0.000115976,0.286798537,0.050242968
0.002032853,0.003285482,0.002654982,0.006685417,0.020915253,0.008063699,0.009419726,0.607592523,0.002195776,0.000115954,0.286797851,0.050240431
0.002031011,0.003282874,0.002652523,0.00668049,0.020903686,0.008057986,0.009413349,0.607651591,0.002193763,0.000115785,0.286793411,0.050223503
0.002032742,0.003285334,0.002654844,0.006685095,0.020914534,0.008063344,0.009419334,0.607596219,0.002195658,0.000115944,0.286797613,0.050239287
0.002026767,0.003276943,0.002646973,0.006668643,0.020876454,0.008044498,0.009398323,0.607791722,0.002189131,0.000115391,0.28678298,0.050182093
0.00203284,0.003285464,0.002654967,0.006685365,0.020915153,0.008063651,0.009419675,0.607593,0.002195761,0.000115953,0.286797911,0.050240289
0.002032774,0.003285371,0.002654882,0.006685177,0.020914722,0.008063436,0.009419428,0.607595325,0.002195688,0.000115947,0.286797673,0.050239585
0.002032786,0.003285397,0.002654904,0.006685185,0.020914774,0.008063456,0.009419457,0.607595146,0.002195703,0.000115948,0.286797702,0.050239593
0.002032771,0.003285366,0.002654879,0.006685163,0.0209147,0.008063426,0.009419418,0.607595503,0.002195685,0.000115946,0.286797673,0.050239552
0.002032826,0.003285449,0.002654958,0.00668531,0.020915037,0.008063584,0.0094196,0.607593715,0.002195747,0.000115952,0.286797792,0.050240006
0.002032791,0.003285395,0.002654902,0.006685228,0.020914827,0.00806349,0.009419495,0.607594728,0.002195704,0.000115948,0.286797792,0.050239764
0.002032815,0.003285435,0.002654942,0.006685274,0.020914955,0.008063557,0.009419565,0.607594013,0.002195734,0.00011595,0.286797822,0.050239895
