AU,VA,DE,ES,FR,GB,IT,NDF,NL,PT,US,other
0.001153812,0.002113346,0.002078512,0.005761671,0.014325873,0.005987403,0.008173534,0.643821061,0.001212377,0.000127138,0.266855478,0.04838977
0.001153749,0.002113232,0.002078407,0.005761415,0.014325388,0.005987118,0.008173233,0.6438241,0.001212304,0.000127128,0.26685524,0.048388671
0.001153892,0.002113498,0.002078651,0.005761997,0.01432647,0.005987773,0.008173898,0.643817186,0.001212474,0.000127152,0.266855687,0.048391327
0.001153825,0.002113371,0.002078534,0.005761721,0.014325975,0.005987466,0.008173591,0.643820405,0.001212392,0.00012714,0.266855508,0.048390001
0.001153748,0.002113226,0.002078403,0.005761406,0.014325384,0.005987105,0.008173232,0.643824279,0.001212299,0.000127127,0.266855329,0.048388537
0.001153815,0.002113351,0.002078519,0.005761682,0.014325884,0.005987414,0.008173544,0.643820941,0.00121238,0.000127139,0.266855478,0.048389819
0.001153816,0.002113352,0.00207852,0.005761682,0.014325891,0.005987416,0.008173544,0.643820941,0.001212381,0.000127139,0.266855478,0.04838983
0.001153744,0.002113227,0.002078399,0.005761405,0.014325351,0.005987103,0.008173217,0.643824339,0.001212299,0.000127127,0.26685524,0.048388608
0.00115381,0.002113342,0.002078507,0.005761657,0.014325852,0.005987389,0.008173517,0.643821299,0.001212373,0.000127138,0.266855389,0.048389699
0.001153818,0.002113355,0.00207852,0.00576169,0.014325895,0.00598742,0.008173552,0.643821001,0.001212382,0.000127139,0.266855389,0.048389833
0.001153734,0.002113205,0.002078382,0.005761359,0.014325282,0.005987051,0.008173165,0.643824875,0.001212286,0.000127125,0.26685521,0.048388358
0.001153788,0.002113303,0.00207847,0.005761572,0.014325689,0.005987294,0.00817342,0.643822253,0.001212349,0.000127134,0.266855448,0.048389327
0.001153874,0.002113547,0.002078658,0.00576206,0.014326267,0.005987895,0.008173672,0.643815935,0.001212526,0.00012715,0.266855359,0.048392985
0.001153748,0.002113232,0.002078407,0.005761415,0.014325388,0.005987115,0.008173238,0.6438241,0.001212304,0.000127128,0.26685524,0.048388645
0.001153734,0.002113205,0.002078381,0.005761359,0.014325282,0.005987051,0.00817317,0.643824875,0.001212286,0.000127125,0.26685521,0.048388358
0.001153736,0.002113208,0.002078385,0.005761369,0.014325297,0.005987065,0.008173178,0.643824637,0.00121229,0.000127125,0.26685527,0.048388399
0.001153593,0.002113012,0.002078181,0.005760916,0.014324153,0.005986555,0.008172411,0.643829882,0.001212181,0.000127102,0.266854554,0.048387434
0.001153765,0.002113255,0.002078431,0.005761473,0.014325511,0.005987181,0.00817332,0.643823504,0.001212315,0.00012713,0.266855359,0.048388764
0.001153744,0.002113222,0.002078398,0.005761398,0.014325355,0.005987096,0.008173219,0.64382422,0.001212296,0.000127127,0.266855389,0.04838853
0.00115376,0.002113341,0.00207847,0.005761613,0.014325405,0.005987385,0.008173135,0.643821239,0.001212398,0.00012713,0.266855091,0.048391066
0.001153745,0.002113224,0.002078401,0.0057614,0.014325372,0.005987099,0.008173231,0.64382422,0.001212297,0.000127127,0.266855359,0.04838853
0.001153749,0.002113234,0.002078408,0.005761421,0.014325397,0.00598712,0.008173237,0.643824041,0.001212306,0.000127127,0.26685527,0.04838869
0.001153779,0.002113286,0.002078456,0.005761538,0.014325622,0.00598725,0.008173371,0.64382267,0.001212338,0.000127133,0.266855329,0.048389163
0.001153738,0.002113213,0.002078391,0.005761379,0.014325315,0.005987074,0.008173193,0.643824577,0.00121229,0.000127126,0.26685524,0.048388418
0.001153874,0.002113461,0.002078618,0.005761917,0.014326327,0.005987679,0.008173824,0.64381814,0.00121245,0.000127149,0.266855717,0.048390877
0.001153747,0.002113226,0.002078402,0.005761404,0.014325378,0.005987105,0.008173232,0.643824279,0.001212299,0.000127127,0.266855329,0.048388526
0.001153746,0.002113228,0.002078402,0.005761409,0.014325366,0.005987107,0.008173227,0.64382422,0.001212301,0.000127127,0.266855299,0.048388623
0.001153756,0.002113247,0.002078422,0.005761453,0.014325459,0.00598716,0.008173275,0.643823683,0.001212314,0.000127129,0.266855299,0.048388802
0.001153829,0.002113377,0.002078539,0.005761734,0.014325991,0.00598748,0.008173604,0.643820405,0.001212396,0.000127141,0.266855508,0.048390042
0.001153803,0.002113329,0.002078496,0.005761632,0.014325804,0.005987362,0.008173489,0.643821537,0.001212367,0.000127137,0.266855419,0.048389602
0.001153837,0.002113392,0.002078553,0.005761772,0.014326048,0.005987513,0.008173649,0.643819988,0.001212406,0.000127142,0.266855508,0.048390176
0.001153732,0.0021132,0.002078376,0.005761346,0.014325262,0.00598704,0.008173162,0.643824935,0.001212283,0.000127124,0.266855299,0.048388321
0.001153735,0.002113208,0.002078384,0.005761364,0.014325289,0.005987058,0.008173176,0.643824756,0.001212288,0.000127125,0.26685527,0.048388373
0.001153879,0.002113474,0.002078628,0.005761944,0.014326373,0.00598771,0.008173847,0.643817782,0.001212458,0.000127149,0.266855717,0.048391044
0.001153769,0.002113269,0.002078441,0.005761498,0.014325546,0.005987211,0.008173333,0.643823087,0.001212328,0.000127131,0.266855299,0.048389003
0.001153853,0.002113418,0.00207858,0.005761828,0.014326173,0.00598758,0.008173721,0.643819213,0.001212424,0.000127145,0.266855627,0.048390485
0.001153815,0.002113351,0.002078517,0.005761679,0.014325886,0.005987414,0.008173545,0.643821001,0.00121238,0.000127139,0.266855448,0.0483898
0.001153739,0.002113214,0.00207839,0.005761379,0.014325323,0.005987076,0.008173193,0.643824577,0.001212292,0.000127126,0.266855299,0.048388444
0.001153784,0.002113297,0.002078465,0.005761566,0.014325663,0.005987279,0.008173406,0.643822372,0.001212344,0.000127133,0.266855389,0.048389271
0.001153734,0.002113205,0.002078382,0.005761359,0.014325282,0.005987051,0.008173165,0.643824875,0.001212286,0.000127125,0.26685521,0.048388358
0.001153748,0.002113232,0.002078406,0.005761421,0.01432539,0.00598712,0.008173237,0.643824041,0.001212304,0.000127127,0.26685527,0.048388682
0.001153764,0.002113253,0.00207843,0.005761471,0.014325505,0.005987175,0.00817332,0.643823564,0.001212315,0.00012713,0.26685527,0.048388761
0.001153734,0.002113205,0.002078382,0.005761359,0.014325282,0.005987051,0.008173165,0.643824875,0.001212286,0.000127125,0.26685521,0.048388373
0.00115382,0.002113357,0.002078522,0.005761698,0.014325908,0.005987425,0.008173564,0.643820941,0.001212384,0.000127139,0.266855419,0.048389852
0.001153823,0.002113364,0.002078528,0.005761709,0.014325935,0.005987445,0.008173579,0.643820643,0.001212389,0.00012714,0.266855448,0.048389938
0.001153495,0.002112834,0.002078017,0.005760534,0.01432341,0.005986107,0.008171955,0.643834531,0.001212068,0.000127085,0.266854227,0.04838571
0.001153823,0.002113362,0.002078526,0.005761707,0.014325936,0.005987449,0.008173572,0.643820703,0.001212388,0.000127139,0.266855478,0.048389927
0.001153288,0.002112466,0.002077674,0.005759725,0.014321825,0.005985175,0.008170979,0.643844187,0.001211834,0.00012705,0.266853571,0.048382189
0.0011539,0.002113517,0.002078666,0.005762034,0.014326528,0.005987814,0.008173934,0.64381671,0.001212486,0.000127153,0.266855776,0.048391506
0.001153761,0.002113258,0.002078427,0.005761471,0.014325492,0.005987181,0.008173297,0.643823564,0.00121232,0.00012713,0.26685527,0.048388898
0.001153741,0.002113217,0.002078394,0.005761386,0.01432532,0.005987081,0.008173191,0.643824458,0.001212296,0.000127126,0.26685521,0.048388541
0.001153895,0.002113496,0.00207865,0.005761999,0.014326482,0.005987775,0.008173916,0.643817127,0.001212473,0.000127152,0.266855747,0.048391275
0.001153928,0.002113578,0.002078717,0.005762167,0.014326735,0.005987972,0.008174038,0.643814981,0.001212529,0.000127158,0.266855806,0.048392337
0.001153753,0.002113241,0.002078415,0.005761438,0.014325435,0.005987144,0.008173257,0.643823802,0.001212309,0.000127128,0.266855359,0.048388753
0.001153734,0.002113205,0.002078382,0.005761359,0.01432528,0.005987053,0.008173165,0.643824816,0.001212287,0.000127125,0.26685521,0.048388381
0.001153745,0.002113224,0.002078401,0.005761401,0.014325374,0.005987099,0.008173228,0.643824279,0.001212297,0.000127127,0.266855359,0.048388526
0.001153735,0.002113207,0.002078382,0.005761358,0.014325279,0.005987055,0.008173171,0.643824756,0.001212287,0.000127125,0.26685524,0.048388366
0.001153765,0.002113255,0.002078432,0.005761475,0.014325515,0.005987183,0.008173322,0.643823445,0.001212316,0.00012713,0.266855389,0.048388775
0.001153749,0.002113235,0.00207841,0.005761428,0.014325403,0.005987127,0.008173242,0.643823862,0.001212306,0.000127128,0.26685524,0.048388712
0.00115382,0.002113359,0.002078524,0.005761696,0.014325912,0.00598743,0.008173566,0.643820822,0.001212385,0.000127139,0.266855448,0.048389878
0.001153912,0.002113557,0.002078692,0.005762109,0.014326598,0.005987921,0.008173943,0.643815577,0.001212518,0.000127155,0.266855657,0.048392255
0.001153777,0.002113282,0.002078452,0.00576153,0.01432561,0.005987242,0.008173368,0.64382273,0.001212336,0.000127132,0.266855419,0.048389148
0.00115383,0.00211338,0.002078541,0.005761737,0.014326003,0.005987488,0.008173615,0.643820345,0.001212398,0.000127141,0.266855419,0.048390064
0.001153751,0.002113235,0.002078409,0.00576142,0.014325405,0.005987122,0.008173244,0.643823981,0.001212305,0.000127128,0.266855299,0.048388653
0.001153734,0.002113205,0.002078382,0.005761359,0.014325282,0.005987051,0.008173165,0.643824875,0.001212286,0.000127125,0.26685521,0.048388358
0.001153812,0.002113346,0.002078512,0.005761671,0.014325873,0.005987403,0.008173534,0.643821061,0.001212377,0.000127138,0.266855478,0.04838977
0.001153749,0.002113232,0.002078407,0.005761418,0.014325386,0.005987117,0.008173237,0.643824041,0.001212304,0.000127127,0.26685527,0.048388656
0.001153751,0.002113237,0.00207841,0.005761428,0.014325416,0.005987132,0.008173246,0.643823862,0.001212306,0.000127128,0.266855329,0.048388686
0.001153898,0.00211351,0.00207866,0.005762019,0.014326501,0.005987796,0.008173917,0.643816888,0.001212481,0.000127153,0.266855776,0.048391443
0.001153748,0.002113234,0.002078407,0.005761424,0.014325392,0.005987124,0.008173241,0.6438241,0.001212305,0.000127128,0.26685524,0.048388693
0.001153747,0.002113227,0.002078405,0.005761409,0.014325391,0.005987107,0.008173235,0.64382422,0.0012123,0.000127127,0.266855329,0.048388541
0.001153763,0.002113249,0.002078427,0.005761461,0.014325493,0.005987171,0.008173302,0.643823624,0.001212313,0.00012713,0.26685527,0.048388727
0.00115383,0.002113379,0.002078541,0.005761737,0.014326001,0.005987485,0.008173611,0.643820345,0.001212398,0.000127141,0.266855448,0.048390064
0.001153858,0.002113429,0.002078591,0.005761855,0.014326217,0.005987606,0.008173748,0.643818855,0.00121243,0.000127146,0.266855687,0.048390597
0.001153745,0.002113226,0.002078399,0.005761403,0.014325354,0.005987104,0.008173223,0.64382416,0.0012123,0.000127127,0.266855329,0.048388585
0.001153761,0.002113254,0.002078427,0.005761469,0.014325488,0.005987175,0.008173297,0.643823564,0.001212319,0.00012713,0.26685527,0.048388861
0.001153817,0.002113446,0.002078565,0.005761844,0.014325838,0.005987643,0.008173404,0.643818557,0.00121246,0.00012714,0.266855299,0.048392005
0.001153748,0.002113233,0.002078407,0.005761418,0.014325386,0.005987117,0.008173233,0.643824041,0.001212303,0.000127127,0.26685527,0.048388656
0.001153765,0.002113255,0.002078432,0.005761475,0.014325519,0.005987183,0.008173322,0.643823445,0.001212316,0.00012713,0.266855389,0.048388775
0.001153749,0.002113232,0.002078407,0.005761418,0.014325402,0.005987116,0.008173248,0.643823981,0.001212302,0.000127127,0.266855359,0.048388571
0.001153756,0.002113239,0.002078414,0.005761435,0.014325444,0.005987138,0.008173269,0.643823862,0.001212307,0.000127129,0.266855389,0.048388645
0.001153844,0.002113407,0.002078566,0.005761803,0.014326108,0.005987546,0.008173682,0.643819511,0.001212415,0.000127143,0.266855657,0.048390392
0.001153747,0.002113226,0.002078403,0.005761406,0.014325383,0.005987105,0.008173235,0.64382422,0.001212299,0.000127127,0.266855359,0.04838853
0.00115384,0.002113397,0.002078558,0.005761784,0.014326079,0.005987529,0.008173661,0.643819749,0.001212411,0.000127143,0.266855657,0.048390307
0.001153813,0.002113346,0.002078513,0.005761674,0.014325871,0.005987403,0.008173537,0.643821001,0.001212377,0.000127138,0.266855508,0.048389766
0.001153765,0.002113255,0.002078431,0.005761475,0.014325515,0.005987183,0.008173322,0.643823445,0.001212316,0.00012713,0.266855389,0.048388775
0.001153751,0.00211324,0.002078413,0.005761433,0.01432541,0.005987132,0.008173246,0.643823862,0.001212308,0.000127128,0.26685524,0.048388723
0.001153905,0.00211353,0.002078676,0.005762061,0.014326567,0.00598785,0.008173954,0.643816352,0.001212496,0.000127154,0.266855747,0.0483917
0.001153818,0.002113356,0.00207852,0.005761687,0.014325897,0.00598742,0.008173556,0.643820941,0.001212383,0.000127139,0.266855419,0.048389845
0.001153882,0.002113482,0.002078635,0.005761963,0.014326392,0.005987732,0.008173853,0.643817663,0.001212466,0.00012715,0.266855657,0.048391189
0.00115375,0.002113236,0.00207841,0.00576143,0.014325403,0.005987127,0.008173242,0.643823862,0.001212306,0.000127128,0.266855329,0.048388712
0.001153744,0.002113224,0.002078398,0.005761398,0.01432535,0.005987099,0.008173216,0.643824279,0.001212298,0.000127127,0.266855329,0.048388559
0.001153735,0.002113206,0.002078383,0.005761359,0.01432528,0.00598705,0.008173169,0.643824816,0.001212286,0.000127125,0.26685521,0.048388369
0.001153749,0.002113232,0.002078408,0.005761418,0.014325398,0.005987116,0.008173239,0.643823981,0.001212304,0.000127127,0.266855299,0.048388675
0.001153878,0.002113464,0.002078621,0.005761933,0.01432636,0.005987692,0.008173841,0.643817961,0.001212451,0.000127149,0.266855747,0.04839091
0.00115381,0.002113341,0.002078506,0.00576166,0.014325847,0.005987389,0.008173517,0.643821299,0.001212373,0.000127138,0.266855448,0.048389722
0.001153735,0.002113205,0.002078383,0.005761361,0.014325285,0.005987052,0.008173168,0.643824756,0.001212287,0.000127125,0.26685524,0.048388366
0.00115375,0.002113234,0.002078409,0.00576142,0.014325404,0.005987125,0.008173247,0.643823922,0.001212305,0.000127128,0.266855299,0.048388682
0.001153764,0.002113252,0.002078429,0.005761466,0.014325505,0.005987172,0.008173312,0.643823564,0.001212315,0.00012713,0.266855359,0.048388761
0.001153797,0.002113316,0.002078484,0.005761606,0.014325743,0.005987332,0.00817346,0.643821955,0.001212358,0.000127135,0.266855419,0.048389468
0.001153809,0.002113342,0.002078508,0.00576166,0.014325851,0.005987391,0.008173521,0.643821239,0.001212374,0.000127138,0.266855538,0.048389737
0.001153574,0.002112965,0.002078142,0.005760822,0.014324002,0.00598644,0.008172325,0.643831074,0.00121215,0.000127098,0.266854495,0.048386868
0.001153817,0.002113356,0.00207852,0.005761687,0.014325894,0.005987425,0.008173551,0.643820941,0.001212383,0.000127139,0.266855478,0.048389845
0.001153744,0.002113221,0.002078397,0.005761396,0.014325358,0.005987094,0.008173221,0.643824339,0.001212295,0.000127126,0.266855389,0.048388507
0.001153777,0.002113283,0.002078454,0.005761528,0.014325604,0.005987243,0.008173365,0.643822789,0.001212336,0.000127132,0.266855329,0.048389137
0.001153744,0.002113221,0.002078396,0.005761398,0.014325354,0.005987094,0.00817322,0.643824279,0.001212296,0.000127127,0.266855359,0.048388511
0.001153738,0.002113211,0.002078387,0.005761377,0.014325307,0.005987071,0.008173182,0.643824637,0.001212291,0.000127126,0.26685521,0.048388448
0.001153749,0.002113233,0.002078408,0.005761423,0.014325395,0.005987122,0.008173239,0.643823981,0.001212306,0.000127128,0.266855329,0.048388697
0.001153777,0.002113281,0.002078452,0.005761527,0.014325605,0.005987239,0.008173368,0.64382273,0.001212336,0.000127132,0.266855448,0.048389133
0.001153813,0.002113347,0.002078515,0.005761671,0.014325873,0.005987403,0.008173534,0.643821061,0.001212377,0.000127138,0.266855448,0.04838977
0.00115386,0.002113431,0.002078592,0.005761857,0.014326236,0.005987614,0.008173763,0.643818796,0.001212432,0.000127146,0.266855687,0.048390578
0.001153812,0.002113346,0.002078512,0.005761671,0.014325873,0.005987403,0.008173534,0.643821061,0.001212377,0.000127138,0.266855478,0.04838977
0.001153745,0.002113224,0.0020784,0.005761398,0.01432537,0.005987099,0.008173227,0.64382422,0.001212297,0.000127127,0.266855359,0.048388507
0.001153861,0.002113438,0.002078597,0.005761869,0.014326221,0.005987624,0.008173748,0.643818617,0.001212437,0.000127146,0.266855627,0.04839072
0.001153748,0.002113232,0.002078406,0.005761415,0.014325388,0.00598712,0.008173233,0.6438241,0.001212305,0.000127127,0.26685527,0.048388686
0.001153744,0.002113223,0.002078397,0.005761398,0.014325357,0.005987094,0.008173225,0.643824279,0.001212296,0.000127126,0.266855389,0.048388511
0.001153767,0.002113317,0.002078464,0.005761581,0.014325472,0.005987328,0.008173229,0.643821895,0.001212373,0.000127131,0.26685515,0.048390269
0.001153812,0.002113346,0.002078512,0.005761671,0.01432587,0.005987403,0.008173534,0.643821061,0.001212376,0.000127138,0.266855448,0.048389763
0.001153764,0.002113254,0.00207843,0.005761471,0.014325511,0.005987178,0.00817332,0.643823504,0.001212315,0.00012713,0.266855329,0.048388764
0.001153862,0.002113437,0.0020786,0.005761875,0.014326249,0.005987624,0.008173776,0.643818617,0.001212435,0.000127147,0.266855717,0.048390672
0.001153811,0.002113346,0.002078512,0.005761669,0.014325872,0.005987402,0.008173531,0.64382112,0.001212377,0.000127138,0.266855538,0.048389766
0.001153734,0.002113205,0.002078381,0.005761359,0.014325282,0.005987051,0.00817317,0.643824875,0.001212286,0.000127125,0.26685521,0.048388358
0.001153748,0.002113234,0.002078407,0.005761424,0.014325392,0.005987124,0.008173241,0.6438241,0.001212305,0.000127128,0.26685524,0.048388693
0.001153814,0.002113349,0.002078516,0.005761677,0.014325882,0.005987409,0.008173545,0.643821001,0.001212379,0.000127138,0.266855508,0.048389792
0.001153862,0.002113522,0.002078637,0.005762006,0.014326168,0.00598783,0.008173618,0.64381665,0.001212512,0.000127148,0.266855299,0.048392739
0.001153754,0.002113242,0.002078416,0.005761442,0.014325432,0.005987142,0.008173259,0.643823683,0.00121231,0.000127128,0.266855448,0.048388768
0.001153818,0.002113356,0.002078521,0.005761687,0.014325891,0.005987423,0.008173551,0.643820941,0.001212383,0.000127139,0.266855419,0.048389852
0.00115382,0.002113362,0.002078527,0.005761704,0.014325922,0.00598744,0.008173568,0.643820703,0.001212387,0.000127139,0.266855538,0.048389927
0.00115379,0.002113308,0.002078474,0.005761582,0.014325699,0.005987302,0.008173431,0.643822134,0.001212351,0.000127134,0.266855448,0.048389375
0.001153891,0.002113491,0.002078645,0.005761989,0.014326457,0.005987759,0.008173899,0.643817246,0.00121247,0.000127152,0.266855747,0.048391227
0.001153749,0.002113232,0.002078408,0.005761413,0.0143254,0.005987116,0.008173246,0.64382416,0.001212302,0.000127127,0.266855329,0.048388574
0.001153738,0.002113212,0.002078388,0.005761376,0.014325313,0.005987071,0.008173189,0.643824577,0.001212291,0.000127126,0.266855299,0.048388418
0.00115384,0.002113397,0.002078558,0.005761786,0.014326076,0.005987529,0.008173661,0.643819749,0.00121241,0.000127143,0.266855597,0.048390295
0.001153739,0.002113216,0.002078392,0.005761379,0.014325323,0.005987076,0.008173197,0.643824577,0.001212292,0.000127126,0.266855299,0.048388444
0.001153747,0.002113226,0.002078402,0.005761406,0.014325384,0.005987105,0.008173232,0.643824279,0.001212299,0.000127127,0.266855329,0.048388537
0.001153749,0.002113232,0.002078408,0.005761413,0.0143254,0.005987116,0.008173246,0.64382416,0.001212302,0.000127127,0.266855329,0.048388559
